country,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,generosity1,trust_government_corruption,year
Cameroon,5.044,0.5489999999999999,0.91,0.331,0.381,0.187,0.037000000000000005,2019
Cameroon,5.084899902,0.503958046,0.700386405,0.270189553,0.43924248200000005,0.198020101,0.054393422000000004,2020
Canada,7.4270000000000005,1.32629,1.32261,0.9056299999999999,0.63297,0.45811,0.32957,2015
Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.44833999999999996,0.31329,2016
Canada,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2017
Canada,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,2018
Canada,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,2019
Canada,7.23210001,1.301647663,0.927176654,1.022501945,0.644028127,0.28152892,0.35170185600000003,2020
Central African Republic,3.678,0.0785,0.0,0.06699,0.48878999999999995,0.23835,0.08288999999999999,2015
Central African Republic,2.69300007820129,0.0,0.0,0.0187726859003305,0.270842045545578,0.280876487493515,0.0565650761127472,2017
Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,2018
Central African Republic,3.083,0.026000000000000002,0.0,0.105,0.225,0.235,0.035,2019
Central African Republic,3.475899935,0.041072082,0.31945985600000004,0.0,0.292814463,0.253513217,0.028264717999999998,2020
Chad,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,2015
Chad,3.763,0.42213999999999996,0.63178,0.038239999999999996,0.12807000000000002,0.18667,0.04952,2016
Chad,3.9360001087188703,0.43801298737525896,0.953855872154236,0.0411347150802612,0.16234202682972002,0.21611385047435802,0.0535818822681904,2017
Chad,4.301,0.358,0.907,0.053,0.18899999999999997,0.18100000000000002,0.06,2018
Chad,4.35,0.35,0.7659999999999999,0.192,0.174,0.198,0.078,2019
Chad,4.422699928,0.30228748899999996,0.632388055,0.1087441,0.22860176899999998,0.210805088,0.085755408,2020
Chile,6.67,1.10715,1.12447,0.85857,0.44132,0.33363000000000004,0.12869,2015
Chile,6.705,1.2167,0.9058700000000001,0.8188300000000001,0.37789,0.31595,0.11450999999999999,2016
Chile,6.65199995040894,1.25278460979462,1.28402495384216,0.8194797039031979,0.376895278692245,0.3266624212265011,0.0822879821062088,2017
Chile,6.476,1.131,1.331,0.8079999999999999,0.431,0.19699999999999998,0.061,2018
Chile,6.444,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994,2019
Chile,6.228499889,1.096992493,0.879713595,0.889260828,0.41748222700000004,0.155579001,0.06284935,2020
China,5.14,0.89012,0.94675,0.81658,0.5169699999999999,0.08185,0.02781,2015
China,5.245,1.0278,0.79381,0.73561,0.44011999999999996,0.049589999999999995,0.02745,2016
China,5.2729997634887695,1.08116579055786,1.16083741188049,0.741415500640869,0.47278770804405196,0.0288068410009146,0.0227942746132612,2017
China,5.246,0.9890000000000001,1.1420000000000001,0.799,0.597,0.028999999999999998,0.10300000000000001,2018
China,5.191,1.0290000000000001,1.125,0.893,0.521,0.057999999999999996,0.1,2019
China,5.123899937,0.990533412,0.798760593,0.867248535,0.6016051170000001,0.079021044,0.117255554,2020
Colombia,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.18400999999999998,0.0512,2015
Colombia,6.481,1.0303200000000001,1.02169,0.59659,0.44735,0.15625999999999998,0.053989999999999996,2016
Colombia,6.35699987411499,1.07062232494354,1.4021829366683998,0.595027923583984,0.47748741507530196,0.14901447296142598,0.0466687418520451,2017
Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018
Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019
Colombia,6.163400172999999,0.93220371,0.884440243,0.8100201490000001,0.526890039,0.092374094,0.04584837,2020
Comoros,3.9560000000000004,0.23906,0.79273,0.36315,0.22916999999999998,0.17440999999999998,0.19899999999999998,2015
Comoros,3.9560000000000004,0.27509,0.60323,0.29980999999999997,0.15412,0.1827,0.18437,2016
Comoros,3.9730000000000003,0.27399999999999997,0.757,0.505,0.142,0.275,0.078,2019
Comoros,4.288599968,0.41562077399999997,0.625662446,0.43738332399999996,0.18102823199999998,0.258538276,0.100048535,2020
Congo (Brazzaville),3.989,0.67866,0.6629,0.31051,0.41466000000000003,0.12387999999999999,0.11685999999999999,2015
Congo (Brazzaville),4.236000000000001,0.7710899999999999,0.47798999999999997,0.28212,0.37938,0.12077,0.09752999999999999,2016
Congo (Brazzaville),4.29099988937378,0.8089642524719242,0.8320443630218509,0.28995743393898,0.4350258708000179,0.12085212767124198,0.0796181336045265,2017
Congo (Brazzaville),4.559,0.682,0.8109999999999999,0.34299999999999997,0.514,0.091,0.077,2018
Congo (Brazzaville),4.812,0.6729999999999999,0.799,0.508,0.37200000000000005,0.105,0.09300000000000001,2019
Congo (Brazzaville),5.1943998339999995,0.633616745,0.6402280929999999,0.45810112399999997,0.386514395,0.11721601300000001,0.118670784,2020
Congo (Kinshasa),4.5169999999999995,0.0,1.0012,0.09806000000000001,0.22605,0.24834,0.07625,2015
Congo (Kinshasa),4.272,0.05661,0.80676,0.188,0.15602,0.25458000000000003,0.06075,2016
Congo (Kinshasa),4.2800002098083505,0.0921023488044739,1.22902345657349,0.191407024860382,0.235961347818375,0.246455833315849,0.0602413564920425,2017
Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.19699999999999998,0.052000000000000005,2018
Congo (Kinshasa),4.418,0.094,1.125,0.35700000000000004,0.26899999999999996,0.212,0.053,2019
Congo (Kinshasa),4.31099987,0.062487468,0.6721590159999999,0.277212054,0.36462298,0.254324883,0.081466645,2020
Costa Rica,7.226,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.25497,0.10583,2015
Costa Rica,7.087000000000001,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547000000000001,2016
Costa Rica,7.0789999961853,1.10970628261566,1.4164036512374898,0.7595092654228209,0.580131649971008,0.21461322903633104,0.100106589496136,2017
Costa Rica,7.072,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999,2018
Costa Rica,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001,2019
Costa Rica,7.121399879,0.981107712,0.901545942,0.9396353359999999,0.6450177429999999,0.131266311,0.096362092,2020
Croatia,5.7589999999999995,1.08254,0.79624,0.78805,0.25883,0.054439999999999995,0.0243,2015
Croatia,5.4879999999999995,1.18649,0.6080899999999999,0.70524,0.23906999999999998,0.18434,0.04002,2016
Croatia,5.2930002212524405,1.22255623340607,0.9679830074310299,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,2017
Croatia,5.321000000000001,1.115,1.161,0.737,0.38,0.12,0.039,2018
Croatia,5.432,1.155,1.266,0.914,0.29600000000000004,0.11900000000000001,0.022000000000000002,2019
Croatia,5.504700184,1.109024286,0.874623716,0.900575578,0.38145688200000005,0.113998979,0.012325006000000001,2020
Cyprus,5.689,1.20813,0.89318,0.92356,0.40671999999999997,0.30638000000000004,0.06146,2015
Cyprus,5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.05227999999999999,2016
